city,number
서울특별시,242623
부산광역시,40366
대구광역시,27798
인천광역시,67648
광주광역시,21323
대전광역시,16895
울산광역시,17884
세종특별자치시,5076
경기도,380144
강원도,17332
충청북도,37060
충청남도,64546
전라북도,31288
전라남도,32906
경상북도,52469
경상남도,67239
제주특별자치도,22943
