city,rate
서울특별시,0.048
부산광역시,0.023
대구광역시,0.022
인천광역시,0.044
광주광역시,0.029
대전광역시,0.023
울산광역시,0.033
세종특별자치시,0.029
경기도,0.054
강원도,0.025
충청북도,0.046
충청남도,0.058
전라북도,0.034
전라남도,0.038
경상북도,0.039
경상남도,0.04
제주특별자치도,0.052
